的;de;суффикс прилагательного, суффикс притяжательности;大的 [wèidàde] — великий; 父亲的话 [fùqīnde huà] — слова отца
我;wǒ;я, мой, наш;
呢;ne;фразовая частица, выражающая вопрос же?;你们看什么呢 ? [nǐmen kàn shénme ne] — что же вы смотрите?; 你呢 [nǐ ne] — а ты?
太;tài;слишком, чересчур, чрезвычайно;太晚 [tài wǎn] — слишком поздно
里;lǐ;внутри, в;皮箱里 [píxiāngli] — в чемодане; 屋子里 [wūzili] — в комнате
听;tīng;слушать;听报告 [tīng bàogào] — слушать доклад; 听音乐 [tīng yīnyuè] — слушать музыку
谁;shuí, shéi;кто, кого, чей;谁来了 ? [shuí láile] — кто пришёл?
多;duō;много, многочисленный, свыше;事情很多 [shìqíng hěnduō] — дел очень много; 一年多 [yīnián duō] — год с лишним
时候;shíhou;время, промежуток, времени, во время;
下;xià;нижний, низ, послелог под, при, следующий;下嘴唇 [xià zuǐchún] — нижняя губа; 站在树下 [zhàn zài shù xià] — стоять под деревом
谢谢;xièxie;спасибо, благодарю, благодарить;
先生;xiānsheng;господин, мистер;
喜欢;xǐhuan;нравиться, любить;
大;dà;большой, крупный, великий, огромный;大成市 [dà chéngshì] — большой [крупный] город; 大事 [dàshì] — большое [важное] событие
东西;dōngxi;вещь, предмет;
小;xiǎo;маленький, мелкий, малый, молодой, младший;这间房间太小 [zhèjiān fángjiān tài xiǎo] — эта комната слишком маленькая; 他比我小一岁 [tā bǐ wǒ xiǎo yīsuì] — он моложе меня на один год
叫;jiào;кричать, крик, звать, подзывать, вызывать;鸡叫 [jījiào] — крик петуха; 他叫什么名字 ? [tā jiào shénme míngzì] — как его зовут?, как его имя?
爱;ài;любить, любовь, любимый;爱祖国 [ài zǔguó] — любить родину; 母爱 [mǔ’ài] — материнская любовь
年;nián;год, годы;今年 [jīnnián] — текущий год, в текущем году; 近年来 [jìnnián lái] — (за) последние годы
请;qǐng;просить, пожалуйста!, приглашать;请坐 [qǐng zuò] — садитесь, пожалуйста; 请医生 [qǐng yīshēng] — пригласить врача
回;huí;возвращаться;回国 [huíguó] — вернуться на родину; 回过头来 [huíguotóulai] — повернуть голову назад, обернуться
工作;gōngzuò;работать, работа;
钱;qián;деньги;花钱 [huā qián] — тратить деньги; 有钱的人 [yǒu qiánde rén] — богатый человек
吃;chī;есть, кушать;吃水果 [chī shuǐguǒ] — кушать фрукты; 吃药 [chīyào] — принимать лекарства
开;kāi;открывать, управлять, вести, включать;开门 [kāimén] — открыть дверь [ворота]; 开汽车 [kāi qìchē] — управлять автомобилем, вести машину
家;jiā;семья, семейство, дом, домашний;我的家 [wǒdejiā] — моя семья; 家事 [jiāshì] — домашние дела
哪;nǎ;какой, который;你学的是哪一国语言 ? [nǐ xuéde shì nǎ yī guó yǔyán] — какой иностранный язык вы изучаете?
朋友;péngyou;друг, товарищ, друзья;
妈妈;māma;мама;
今天;jīntiān;сегодня, нынешний день;
几;jǐ;сколько?, несколько, немного;几个人 ? [jǐge rén] — сколько человек?
爸爸;bàba;папа, тятя;
些;xiē;немного, несколько;你快些走 [nǐ kuài xiē zǒu] — иди побыстрее; 这些 [zhèxie] — эти (несколько)
怎么样;zěnmeyàng;как, каким образом, каков;
对不起;duìbuqǐ;виноват!, простите!, извините!;
住;zhù;жить, проживать;我家住在城外 [wǒ jiā zhù zài chéng wài] — моя семья живёт за городом; 记住 [jìzhù] — запомнить
三;sān;три, третий;三个人 [sānge rén] — три человека
高兴;gāoxìng;радоваться, радостный;
买;mǎi;покупать, приобретать;买东西 [mǎidōngxi] — покупать вещи, делать покупки
医生;yīsheng;врач, доктор;
哪儿;nǎr;[en] where? (Beijing accent)
字;zì;иероглиф, слово;汉字 [hànzì] — китайские иероглифы; 常用字 [chángyòngzì] — наиболее употребительные иероглифы
名字;míngzi;имя (человека), кличка (животного);
认识;rènshi;знать, быть знакомым, знакомиться;
坐;zuò;сидеть, садиться, ехать на [в];请坐 ! [qǐng zuò] — садитесь, пожалуйста!; 坐火车 [zuò huǒchē] — ехать на поезде
喝;hē;пить;喝茶 [hē chá] — пить чай; 爱喝 [ài hē] — любить выпить
写;xiě;писать, записывать, описывать;写信 [xiě xìn] — писать письмо; 写小说 [xiě xiǎoshuō] — писать рассказ
月;yuè;луна, месяц;上月 [shàng yuè] — прошлый месяц; 月票 [yuèpiào] — месячный (проездной) билет
号;hào;название, размер, число (месяца);店号 [diànhào] — название магазина; 大号 [dàhào] — большой размер, большого размера
狗;gǒu;собака, собачий;猎狗 [liègǒu] — охотничья собака; 狗吠 [gǒufèi] — собачий лай
岁;suì;годы, лета;岁末 [suìmò] — конец года; 我三十岁 [wǒ sānshí suì] — мне тридцать лет
看见;kànjiàn;увидеть, видеть;看不见 [kànbujiàn] — нельзя рассмотреть, не видно
打电话;dǎ diànhuà;звонить по телефону;
喂;wèi;кормить, алло!, эй!;喂小孩 [wèi xiǎohái] — кормить ребёнка; 喂鸡 [wèi jī] — кормить кур
儿子;érzi;сын;
漂亮;piàoliang;красивый;
分钟;fēnzhōng;минута;
再见;zàijiàn;до свидания;
本;běn;счётное слово для растений, цветов;
明天;míngtiān;завтра, завтрашний день;明天见 ! [míngtiānjiàn] — до завтра!, завтра увидимся
少;shǎo;мало, немного, редко;我的行李很少 [wǒde xíngli hěn shǎo] — багажа у меня очень мало; 他很少迟到 [tā hěn shǎo chídào] — он очень редко опаздывает
多少;duōshao;сколько?;
块;kuài;сч. сл. для основных денежных единиц, кусок, глыба;一块卢布 [yī kuài lúbù] — один рубль
女儿;nǚ’er;дочь;
小姐;xiǎojie;барышня, мисс;
衣服;yīfu;одежда, платье, костюм;
水;shuǐ;вода, водяной, гидро-;喝水 [hē shuǐ] — пить воду; 开水 [kāishuǐ] — кипячёная вода, кипяток
学校;xuéxiào;школа, учебное заведение, училище;
电影;diànyǐng;кино;电影片 [diànyǐngpiàn] — кинофильм
书;shū;книга;新书 [xīnshū] — новая книга
四;sì;четыре, четвёртый;四个人 [sìge rén] — четыре человека
五;wǔ;пять, пятый;五年级 [wǔ niánjí] — пятый курс [класс]
医院;yīyuàn;больница, госпиталь;
没关系;méi guānxi;неважно, ничего, пустяки;
飞机;fēijī;самолёт;
二;èr;два, второй;二路公共汽车 [èrlù gōnggòng qìchē] — автобус номер два; 二中全会 [èrzhōngquánhuì] — второй пленум ЦК
电视;diànshì;телевидение, телевизионный;电视连续剧 [diànshì liánxùjù] — телесериал; 电视片 [diànshìpiàn] — телефильм
读;dú;читать, зачитывать;读报 [dúbào] — читать газеты, читка газет (вслух); 读大学 [dú dàxué] — учиться в университете
后面;hòumiàn;задняя сторона, зад, позади, сзади, задний;
昨天;zuótiān;вчера, вчерашний день;
睡觉;shuìjiào;спать;
六;liù;шесть, шестой;
老师;lǎoshī;учитель, преподаватель;
星期;xīngqī;неделя;今天星期几 ? [jìntiān xīngqījǐ] — какой сегодня день недели?
十;shí;десять, десятый;十个人 [shígerén] — десять человек
猫;māo;кошка;
电脑;diànnǎo;компьютер;电脑软件 [diànnǎo ruǎnjiàn] — программные компоненты компьютера
热;rè;горячий, увлечение, мода;热茶 [rè chá] — горячий чай; 旅游热 [lǚyóurè] — туристский бум
学生;xuésheng;студент, ученик, учащийся;学生证 [xuéshēngzhèng] — студенческий билет
下午;xiàwǔ;вторая половина дня, после полудня;
学习;xuéxí;учиться, обучаться, обучение, учёба;
冷;lěng;холодный, холодно, холод;外面很冷 [wàimian hěn lěng] — на улице очень холодно
不客气;bùkěqi;не церемоньтесь!, не стесняйтесь!;
前面;qiánmian;перед, передний, впереди, перёд, выше, ранее;前面所说的 [qiánmiàn suǒshuōde] — вышесказанное
八;bā;восемь, восьмой;
中国;zhōngguó;Китай, китайский;中国话 [zhōngguóhuà] — китайский язык
七;qī;семь, седьмой;
菜;cài;овощи, блюдо, пища, стол;种菜 [zhòng cài] — сажать овощи; 中菜 [zhōngcài] — китайская кухня, китайские блюда
桌子;zhuōzi;стол;书桌 [shūzhuō] — письменный стол
出租车;chūzūchē;такси;
天气;tiānqì;погода, климат;天气预报 [tiānqì yùbào] — прогноз погоды
茶;chá;чай;喝茶 [hē chá] — пить чай
九;jiǔ;девять, девятый;
商店;shāngdiàn;магазин;
椅子;yǐzi;стул;
同学;tóngxué;соученик, однокашник;
一点儿;yìdiǎnr;[en] a bit; a few
苹果;píngguǒ;яблоко;
饭店;fàndiàn;[en] restaurant; hotel
中午;zhōngwǔ;полдень;
上午;shàngwǔ;до полудня;
水果;shuǐguǒ;фрукты, фруктовый;
杯子;bēizi;стакан, кружка, бокал, рюмка;
下雨;xiàyǔ;идёт дождь, стоит дождливая погода;
米饭;mǐfàn;варёный рис;
北京;běijīng;Пекин;
汉语;hànyǔ;китайский язык;
