要不然;yàoburán;в противном случае, иначе;
签订;qiāndìng;заключить, подписать (напр., договор);
防疫;fángyì;борьба с эпидемией, противоэпидемический;防疫针 [fángyìzhēn] — профилактическая прививка
算了;suànle;ладно, хватит, довольно;
权益;quányì;законные интересы, права;
素食主义;sùshízhǔyì;вегетарианство;
研究生;yánjiūshēng;аспирант;
上进心;shàngjìnxīn;стремление к росту (прогрессу);
更加;gèngjiā;ещё более;
索赔;suǒpéi;требовать компенсации, требовать возмещения ущерба;
造反;zàofǎn;бунтовать, сеять смуту;
紧密;jǐnmì;тесный, неразрывный;
利率;lìlǜ;процент, процентная ставка;
荧屏;yíngpíng;телевизионный [голубой] экран;
做生意;zuò shēngyi;торговать, заниматься бизнесом;
紧;jǐn;тугой, тесный, близкий, напряжённый;把绳拉紧 [bǎ shéng lājǐn] — туго натянуть канат; 紧跟 [jǐngēn] — следовать по пятам за кем-либо
波涛汹涌;bōtāoxiōngyǒng;бушующий, штормящий, бурлящий;
黄;huáng;жёлтый, желтеть, порнография;黄叶 [huángyè] — жёлтые листья; 扫黄 [sǎohuáng] — борьба с порнографией
略微;lüèwēi;немного, несколько, чуть-чуть, слегка;
洗衣机;xǐyījī;стиральная машина;
世界观;shìjièguān;мировоззрение;
砖瓦;zhuānwǎ;кирпич и черепица, керамика;
帐户;zhànghù;счёт (в банке);
颗粒;kēlì;зерно, зернистый, гранулированный;
出洋相;chūyángxiàng;оскандалиться, осрамиться;
俯仰;fǔyǎng;поднимать и опускать голову, поведение, поступки;
不必;bùbì;не стоит, не следует, не к чему;
糖葫芦;tánghúlu;фрукты в карамели на палочке;
锦绣前程;jǐnxiùqiánchéng;блестящее будущее;
点头;diǎntóu;кивать (головой) (в знак согласия);
没辙;méizhé;нет выхода, ничего не поделать;
唉哟;āiyō;ой;
饭馆;fànguǎn;ресторан, столовая;
断断续续;duànduàn xùxù;с перерывами, то прекращаясь, то начинаясь вновь, прерывистый;
副作用;fùzuòyòng;побочные явления, побочное действие (напр., лекарства);
铜矿;tóngkuàng;медные руды;
分之;fēnzhī;дробная часть;
岳父;yuèfù;тесть;
岛;dǎo;остров, островной;岛国 [dǎoguó] — островное государство
工夫;gōngfu;свободное время, труд, работа;下工夫 [xià gōngfu] — потрудиться, приложить усилия
摇晃;yáohuang;качаться, раскачиваться, шататься;
性情;xìngqíng;характер, натура, темперамент, нрав;
花园;huāyuán;сад;
百分点;bǎifēndiǎn;процент (чего-либо);
慌忙;huāngmáng;поспешно, впопыхах, торопливо, торопиться;
眼下;yǎnxià;в данный момент, сейчас;
黄瓜;huánggua;огурец;
休养;xiūyǎng;отдыхать и поправляться, восстанавливать свои силы;休养所 [xiūyǎngsuǒ] — дом отдыха
并存;bìngcún;сосуществование;
从容不迫;cōngróng bùpò;легко, свободно, вольготно, не торопясь;
增长;zēngzhǎng;возрастать, расти, увеличиваться, увеличение, рост;
飙升;biāoshēng;стремительно подниматься, быстро  набирать высоту;
类;lèi;род, вид, тип, сорт;这类人 [zhè yī lèi rén] — такого рода люди
古老;gǔlǎo;старинный, древний;
把戏;bǎxì;фокус, трюк, уловка, махинация;耍把戏 [shuǎ bǎxì] — показывать фокусы
解说员;jiěshuōyuán;экскурсовод;
制订;zhìdìng;вырабатывать, составлять (напр., план);
敬爱;jìng’ài;дорогой, уважаемый (при обращении), почитать, любить;
难看;nánkàn;некрасивый, неприглядный, противный, некрасиво, стыдно;
匪徒;fěitú;бандит, разбойник;
合乎;héhū;соответствовать, отвечать чему-либо;合乎要求 [héhū yāoqiú] — соответствовать [отвечать] требованиям
思绪;sīxù;ход мыслей, сумятица в мыслях, сумбур в голове;
技能;jìnéng;мастерство, сноровка, квалификация;
枯竭;kūjié;иссохнуть, пересохнуть, иссякнуть;
咬牙切齿;yǎoyá qièchǐ;скрежетать зубами (напр. от гнева, возмущения), зубовный скрежет;
照料;zhàoliào;ухаживать, присматривать за кем-либо;
劲头;jìntóu;сила (физическая), подъём, энтузиазм;
签字;qiānzì;подписаться, поставить подпись;
常务;chángwù;постоянный;常务委员会 [chángwù wěiyuánhuì] — постоянный комитет
螺丝钉;luósīdīng;винт, шуруп;
重阳节;Chóng​yáng​jié;Праздник двойной девятки в Китае (Yang festival) (праздник 9 числа 9 месяца, не всегда совпадает с 9 сентября, считается по лунному календарю);
猖狂;chāngkuáng;исступлённый, оголтелый, бешеный;
钟;zhōng;колокол, часы, час;敲钟 [qiǎo zhōng] — бить в колокол; 闹钟 [nàozhōng] — будильник
为首;wéishǒu;во главе с кем-либо;以校长为首的代表团 [yǐ xiàozhǎng wéishǒude dàibiǎotuán] — делегация во главе с ректором
起义;qǐyì;восстать, восстание;
结帐;jiézhàng;оплатить счета, рассчитаться, закрыть счёт;
摊儿;tānr;лоток, ларёк, торговые ряды;
神色;shénsè;выражение лица, вид, облик, манеры, поведение;
常年;chángnián;ежегодный, в обычное время;
腮;sāi;щека;
近视;jìnshi;близорукость, миопия;
信;xìn;верить, доверять, доверие, исповедовать, веровать, письмо;我信他的话 [wǒ xìn tāde huà] — я верю ему [его словам]; 取信于民 [qǔ xìn yú mín] — завоевать доверие народа
官房;guānfáng;казённое здание, служебное помещение;
赞扬;zànyáng;хвалить, давать высокую оценку, похвала;
洞穴;dòngxué;пещера, логово;
滋长;zīzhǎng;расти, возрастать, рост, прирост;
无从;wúcóng;неоткуда, не с чего;
抑制;yìzhì;торможение;
机关;jīguān;механизм, орган, учреждение, организация;
照应;zhàoyìng;согласовать, скоординировать, ухаживать, заботиться;
算;suàn;считать, подсчитывать, предполагать;他能写会算 [tā néng xiě huì suàn] — он умеет писать и считать; 我算他今天来 [wǒ suàn tā jīntiān lái] — я полагаю, что сегодня он придёт
假使;jiǎshǐ;если бы…, если, при условии, что…;
斑纹;bānwén;полосы, цветные полоски (в узоре), расцветка;
镇压;zhènyā;подавлять, репрессировать, репрессии;
必需;bìxū;необходимый, нужный, требуемый;必需品 [bìxūpǐn] — предметы [товары] первой необходимости
安居乐业;ānjū lèyè;жить в мире и благоденствии;
所谓;suǒwèi;так называемый, пресловутый;
举世闻名;jǔshì-wénmíng;всемирно известный;
揭发;jiēfā;разоблачить, раскрыть, уличить;
高考;gāokǎo;вступительный экзамен в ВУЗ;
