得;dé, děi, de;[en] obtain | must | (complement particle)
经历;jīnglì;испытать, пережить, пережитое;
支持;zhīchí;поддерживать, поддержка;
建议;jiànyì;предлагать, вносить предложение, рекомендовать, предложение;合理化建议 [hélǐhuà jiànyì] — рационализаторское предложение; 提出建议 [tíchū jiànyì] — выдвинуть [внести] предложение
否则;fǒuzé;в противном случае, иначе;
光;guāng;свет, излучение, блеск, сияние;灯光 [dēngguāng] — свет лампы [фонаря]; 日光 [rìguāng] — солнечный свет
安排;ānpái;налаживать, устраивать, планировать;
钥匙;yàoshi;ключ;
信息;xìnxī;известия, весть, информация;信息量 [xìnxīliàng] — объём информации
全部;quánbù;целиком, полностью, сполна;
首先;shǒuxiān;сначала, сперва, в первую очередь, во-первых;
照;zhào;[en] to shine; illuminate; according to
交;jiāo;сдавать, отдавать, водить знакомство;交关税 [jiāo guānshuì] — уплатить пошлину; 交考卷 [jiāo kǎojuàn] — сдать экзаменационную работу
台;tái;башня, вышка, сцена, арена, эстрада, трибуна;了望台 [liàowàngtái] — наблюдательная вышка; 上台 [shàngtái] — 1) выйти на сцену [трибуну] 2) прийти к власти
坚持;jiānchí;твёрдо придерживаться, упорно отстаивать;坚持原则 [jiānchí yuánzé] — твёрдо придерживаться принципов; 坚持学习 [jiānchí xuéxí] — упорно учиться
生意;shēngyi;[en] business; trade
火;huǒ;огонь, пламя;点火 [diǎn huǒ] — зажечь огонь
即使;jíshǐ;пусть (даже), если даже, даже если;即使 … 也 … [jíshǐ… yě…] — пусть даже…, всё равно…
到处;dàochù;везде, повсюду;
挂;guà;вешать, вывешивать, висеть, висячий;挂窗帘 [guà chuānglián] — повесить оконные занавески; 挂旗 [guàqí] — вывесить флаг
道歉;dàoqiàn;принести извинения, извиниться;
可怜;kělián;жалкий, ничтожный;
实在;shízài;правдивый, настоящий, действительный;
骗;piàn;обманывать, выманивать;骗人 [piànrén] — обманывать людей, мошенничать, мошеннический; 骗钱 [piàn qián] — выманивать деньги
原谅;yuánliàng;извинять, прощать;
乱;luàn;беспорядочный, хаотичный;乱说 [luànshuō] — говорить что попало; 事情很乱 [shìqin hěn luàn] — дела находятся в страшном беспорядке
差不多;chàbuduō;почти одно и то же;
满;mǎn;полный, доверху, наполнять;满满的一桶水 [mǎnmǎnde yī tǒng shuǐ] — полное ведро воды; 满上一杯 [mǎnshàng yī bēi] — наполнить бокал
假;jiǎ;ложный, фальшивый, поддельный, фиктивный, притворный, лже-, псевдо-;假科学 [jiǎ kēxué] — лженаука; 假文件 [jiǎ wénjiàn] — поддельный [фальшивый] документ
研究;yánjiū;[en] to study; to research
打扰;dǎrǎo;тревожить, беспокоить;打扰你了 простите, что побеспокоил Вас
正确;zhèngquè;правильный, верный, достоверный;
收;shōu;получать, принимать, брать;收信 [shōu xìn] — получать письма; 不收礼物 [bù shōu lǐwù] — не принимать подарков
秒;miǎo;секунда;十秒种 [shí miǎozhōng] — десять секунд
同时;tóngshí;одновременно, в одно время;
提供;tígōng;предоставлять, поставлять, снабжать;
输;shū;проиграть, потерпеть поражение;我队输了两个球 [wǒ duì shūle liǎngge qiú] — наша команда проиграла два мяча; 输给对方 [shū gěi duìfāng] — проиграть соперникам
号码;hàomǎ;номер;
座;zuò;место, сиденье;客座 [kèzuò] — место для гостей; 空座 [kòngzuò] — свободное место (напр., в автобусе)
比如;bǐrú;например, к примеру;
严重;yánzhòng;серьёзный;
脱;tuō;снять (одежду, обувь);脱衣服 [tuō yīfu] — снять одежду, раздеться
陪;péi;составить компанию, занимать (гостей), сопровождать;陪客人 [péi kèrén] — занимать гостей; 陪餐 [péicān] — составить компанию за столом [за обедом]
法律;fǎlǜ;закон, право, правовой, юридический;妇女法律地位 [fùnǚ fǎlǜ dìwèi] — правовое положение женщины (в обществе)
值得;zhíde;заслуживать, стоить;
使用;shǐyòng;использовать(ся), применять, употреблять, применение;使用武力 [shǐyòng wǔlì] — применять силу
方面;fāngmiàn;сторона;一方面 [yī fāngmiàn] — одна сторона, с одной стороны; 各方面 [gè fāngmiàn] — все стороны, со всех сторон
原来;yuánlái;с самого начала, первоначально, первоначальный;
讨论;tǎolùn;обсуждать, дискутировать;讨论会 [tǎolùnhuì] — дискуссия, диспут
说明;shuōmíng;объяснить, разъяснить, пояснить;
仍然;réngrán;по-прежнему;
动作;dòngzuò;движение, телодвижение;
受到;shòudào;получить, пользоваться;受到信任 [shòudào xìnrèn] — пользоваться доверием; 受到支持 [shòudào zhīchí] — получить поддержку
赶;gǎn;[en] catch up; overtake; drive away
怀疑;huáiyí;сомневаться, сомнение;
拒绝;jùjué;отказываться, отвергать;
演员;yǎnyuán;артист, актёр;
破;pò;сломать, разрушить, порвать, поранить;他手破了 [tā shǒu pòle] — он поранил руку; 破常规 [pò chángguī] — поломать старые порядки
因此;yīncǐ;в связи с этим, поэтому;
答案;dá’àn;ответ, решение;
活动;huódòng;действовать, действие, деятельность, мероприятие;
既然;jìrán;раз (уж), поскольку;
通知;tōngzhī;сообщать, извещать, уведомлять;
不得不;bùdébù;нельзя не…, быть вынужденным, необходимо, только и остаётся, что…;
无论;wúlùn;независимо от чего-либо, несмотря на то, что;无论如何 [wúlùn rúhé] — как бы то ни было, в любом случае
刀;dāo;нож, меч, бритва, резец;菜刀 [càidāo] — кухонный нож
适合;shìhé;соответствовать, подходить;
失望;shīwàng;разочароваться, потерять надежду, разочарование;
允许;yǔnxǔ;разрешать, позволять;
意见;yìjian;мнение, взгляд, точка зрения;
获得;huòdé;получить, достигнуть, добиться, одержать (победу);获得丰收 [huòdé fēngshōu] , — получить [собрать] богатый урожай
要是;yàoshi;если, если бы;
邀请;yāoqǐng;приглашать, приглашение;邀请费 [yāoqǐngfèi] — представительские расходы
尽管;jǐnguǎn;смело, прямо, хотя;
浪费;làngfèi;транжирить, растрачивать, напрасно тратить, расточительство;
失败;shībài;поражение, неудача, потерпеть поражение [неудачу];
责任;zérèn;ответственность, обязанность, долг;对 … 负有责任 [duì… fùyǒu zérèn] — нести ответственность за что-либо; 追究责任 [zhuījiū zérèn] — привлечь к ответственности
美丽;měilì;красивый, очаровательный, прекрасный;
压力;yālì;давление, нажим;
味道;wèidao;вкус;
厉害;lìhai;вредный, опасный, критический (о болезни), лютый, жестокий, безжалостный, зверский;
出发;chūfā;отправляться, выступать (в поход), выходить;
兴奋;xīngfèn;возбуждение, возбуждённый, приподнятый;
观众;guānzhòng;зрители, публика;
反对;fǎnduì;противиться, [быть] против, протестовать, возражать;
精彩;jīngcǎi;замечательный, интересный, эффектный;
感情;gǎnqíng;чувство, эмоция;动感情 [dòng gǎnqíng] — поддаваться эмоциям
演出;yǎnchū;представлять, исполнять;
愉快;yúkuài;радостный, радость;
开玩笑;kāi wánxiào;шутить, подшучивать, разыгрывать;
杂志;zázhì;журнал;
合适;héshì;подходить, подходящий, в самый раз;
广告;guǎnggào;объявление, реклама, афиша;作广告 [zuò guǎnggào] — рекламировать
自然;zìrán;природа, природный, естественный;
深;shēn;глубокий, глубина;一口深井 [yī kǒu shēnjǐng] — глубокий колодец; 深夜 [shēnyè] — глубокая ночь
取;qǔ;брать, взять, получить;取行李 [qǔ xíngli] — получить багаж ; 取款 [qǔkuǎn] — брать [получать] деньги (напр., в банке)
短信;duănxìn;SMS;
地球;dìqiú;земной шар, Земля;
帅;shuài;представительный, видный, солидный;
推;tuī;толкать, подталкивать, отложить;推门 [tuī mén] — толкнуть дверь; 推出门外 [tuīchū mén wài] — вытолкнуть за дверь
关键;guānjiàn;решающий фактор, ключ, ключевой, решающий;关键问题 [guānjiàn wèntí] — ключевой вопрос
空;kōng, kòng;[en] empty; sky | leave blank; leisure
究竟;jiūjìng;в конце концов, в конечном счёте, всё-таки;
恐怕;kǒngpà;бояться, опасаться;
躺;tǎng;ложиться, лежать;躺下睡觉 [tǎngxià shuìjiǎo] — лечь спать
聚会;jùhuì;собраться, встретиться;
方向;fāngxiàng;направление, курс;
幸福;xìngfú;счастье, счастливый;
接着;jiēzhe;продолжать, следовать один за другим, принимать, ловить, подхватывать;
技术;jìshù;техника, технология;技术革新 [jìshù géxīn] — техническое новаторство; 高技术 [gāo jìshù] — высокая технология
困;kùn;утомиться, устать, окружить;孩子困了 [háizi kùnle] — ребёнок устал; 把敌人困住 [bǎ dírén kùnzhù] — окружить противника
困难;kùnnan;трудность, трудный, тяжёлый;
正好;zhènghǎo;как раз, кстати;
提醒;tíxǐng;напоминать, подсказывать;
旅行;lǚxíng;[en] travel
激动;jīdòng;возбуждать, волновать, зажигать;
骄傲;jiāo’ào;гордиться, зазнаваться, задирать нос, зазнайство, высокомерие;
毛;máo;шерсть, волос, пух, перья, волоски, ворс, шерстяной;羊毛 [yángmáo] — овечья шерсть; 毛线 [máoxiàn] — шерстяные нитки
节;jié;сустав, праздник;指节 [zhíjié] — сустав пальца; 过节 [guò jié] — отмечать праздник, праздновать
许多;xǔduō;много, множество;
顺利;shùnlì;гладко, успешно, благоприятно;
职业;zhíyè;занятие, профессия, профессиональный;职业病 [zhíyèbìng] — профессиональное заболевание; 职业高中 [zhíyè gāozhōng] — профессиональное училище
赚;zhuàn;зарабатывать, наживать;他赚了很多钱 [tā zhuànle hěn duō qián] — он нажил [заработал] много денег
地址;dìzhǐ;адрес;
于是;yúshì;таким образом, и тогда;
收拾;shōushi;привести в порядок, прибрать(ся);收拾屋子 [shōushi wūzi] — прибраться в комнате
周围;zhōuwéi;вокруг, кругом, окружающий, периферия;
爱情;ài qíng;любовь, чувство любви;
尊重;zūnzhòng;уважать, ценить;
十分;shífēn;полностью, целиком, на 100%;
教授;jiàoshòu;профессор;
超过;chāoguò;обогнать, опередить, превысить, превзойти;
寄;jì;отправлять, посылать;寄信 [jìxìn] — послать [отправить] письмо
顺便;shùnbiàn;попутно, заодно, кстати;
无聊;wúliáo;скука, скучный;
目的;mùdì;цель;
低;dī;низкий, низко;低飞 [dīfēi] — низко лететь; 低水平 [dī shuǐpíng] — низкий уровень
剩;shèng;оставаться, быть в остатке, оставшийся;只剩了一个人 [zhǐ shèngle yīge rén] — остался только один человек; 剩货 [shènghuò] — оставшийся товар, остатки (товара)
复杂;fùzá;сложный;
社会;shèhuì;общество, общественный, социальный;国际社会 [guójì shèhuì] — мировое сообщество; 社会保障 [shèhuì bǎozhàng] — социальное обеспечение
故意;gùyì;намеренно, умышленно, нарочно;
好处;hǎochu;польза, выгода;好处费 [hǎochufèi] — чаевые
竟然;jìngrán;в конце концов, в итоге;
表示;biǎoshì;выражать, высказывать, заявлять;表示不安 [biǎoshì bù’ān] — выразить обеспокоенность
印象;yìnxiàng;впечатление;
出生;chūshēng;родиться, появиться на свет;出生地 [chūshēngdì] — место рождения; 出生率 [chūshēnglǚ] — рождаемость
估计;gūjì;оценивать, прикидывать, оценка;
地点;dìdiǎn;[en] place; site; location
轻;qīng;лёгкий, легко;油比水轻 [yóu bǐ shuǐ qīng] — масло легче воды; 轻武器 [qīng wǔqì] — лёгкое оружие
轻松;qīngsōng;лёгкий, непринуждённый, расслабиться;
作用;zuòyòng;роль, значение;起作用 [qǐ zuòyòng] — играть роль; 有教育作用 [yǒu jiàoyù zuòyòng] — иметь воспитательное значение
举;jǔ;поднимать, выдвигать, избирать;举手 [jǔshǒu] — поднять руку; 举他为代表 [jǔ tā wéi dàibiǎo] — избрать его депутатом
小伙子;xiǎohuǒzi;парень, малый;
著名;zhùmíng;знаменитый, известный;
免费;miǎnfèi;бесплатный;
伤心;shāngxīn;огорчаться, сокрушаться, убиваться;
记者;jìzhě;корреспондент, репортёр, журналист;记者招待会 [jìzhě zhāodàihuì] — пресс-конференция
仔细;zǐxì;тщательный, тщательно, внимательно;
巧克力;qiǎokèlì;шоколад;
辣;là;горький, острый, крепкий;口甜心辣 [kǒutián xīnlà] — мягко стелет, да жёстко спать
互相;hùxiāng;взаимно, взаимный, взаимо-;互相帮助 [hùxiāng bāngzhù] — взаимопомощь, взаимовыручка
厕所;cèsuǒ;отхожее место, уборная;
过程;guòchéng;процесс, ход (дела);
申请;shēnqǐng;подавать заявление, ходатайствовать, просить, ходатайство, просьба;申请书 [shēnqǐngshū] — заявление, прошение, ходатайство
引起;yǐnqǐ;возбуждать, вызывать;
发展;fāzhǎn;развивать(ся), развитие;
毕业;bìyè;закончить курс, окончить (учебное заведение);毕业论文 [bìyè lùnwén] — дипломная работа; 毕业证书 [bìyè zhèngshū] — диплом, аттестат
正式;zhèngshì;официальный, официально;正式会谈 [zhèngshì huìtán] — официальные переговоры
厨房;chúfáng;кухня;
专业;zhuānyè;специальность, профессия;专业知识 [zhuānyè zhīshi] — профессиональные знания
吸引;xīyǐn;втягивать, вовлекать, привлекать, притягивать;
心情;xīnqíng;настроение, расположение духа;
祝贺;zhùhè;поздравлять;
条件;tiáojiàn;условие, условный;生活条件 [shēnghuò tiáojiàn] — условия жизни; 有利条件 [yǒulì tiáojiàn] — благоприятные условия [обстоятельства]
千万;qiānwàn;огромное количество, многие тысячи, во что бы то ни стало, ни в коем случае (перед отрицанием);
糖;táng;сахар, сладость, конфеты;蔗糖 [zhètáng] — тростниковый сахар; 奶糖 [nǎitáng] — молочный ирис
趟;tàng;раз, сч. сл. для поездов;你到莫斯科去过几趟 ? [nǐ dào mòsīkē qùguo jǐtàng] — сколько раз вы бывали в Москве?; 这趟车是去北京的 [zhètàng chē shì qù běijīngde] — этот поезд идёт в Пекин
由于;yóuyú;из-за того, что, вследствие того, что, благодаря тому, что, из-за, вследствие, в связи с тем, что;
密码;mìmǎ;шифр, код;
倍;bèi;раз, крат;物价上涨三倍 [wùjià shàngzhǎng sānbèi] — цены на товары выросли в 4 раза; 增加到两倍 [zēngjiā dào liǎngbèi] — увеличиться в 2 раза
擦;cā;тереть, вытирать, чистить, драить;擦背 [cā bèi] — тереть спину; 擦桌子 [cā zhuōzi] — вытереть стол, стереть со стола
尤其;yóuqí;в особенности, особенно, тем более;
经验;jīngyàn;опыт;交流经验 [jiāoliú jīngyàn] — обмениваться опытом
盒子;hézi;коробка;
干杯;gānbēi;выпить до капли, осушить бокал, пей до дна!;
看法;kànfǎ;точка зрения, подход, взгляд, мнение;
脏;zāng;грязный, испачкать(ся);脏东西 [zāng dōngxi] — грязные вещи
艺术;yìshù;искусство, художество, художественный;
速度;sùdù;скорость, темпы;
勇敢;yǒnggǎn;смелый, храбрый, отважный;
数字;shùzì;цифра, цифры, цифровой;控制数字 [kòngzhì shùzì] — контрольные цифры
暂时;zànshí;временный, временно, пока;
优秀;yōuxiù;превосходный, замечательный, прекрасный;
笑话;xiàohuà;шутка, анекдот;
可惜;kěxī;к сожалению, жаль, достойный сожаления;
响;xiǎng;звучный, звонкий;这个铃真响 [zhège líng zhēn xiǎng] — этот колокольчик очень звонкий
省;shěng;экономить, беречь, провинция, провинциальный;省钱 [shěngqián] — экономить деньги; 省力 [shěnglì] — беречь силы
笨;bèn;глупый, тупой;他很笨 [tā hén bèn] — он очень тупой; 笨主意 [bèn zhǔyì] — глупая идея
科学;kēxué;наука, научный;
餐厅;cāntīng;ресторан, столовая;
各;gè;каждый, всякий, отдельный;各人 [gèrén] — каждый (человек), всякий; 各持己见 [gè chí jǐ jiàn] — каждый остался при своём мнении
距离;jùlí;отстоять от, расстояние, дистанция;短距离赛跑 [duǎn jùlí sàipǎo] — бег на короткую дистанцию
窗户;chuānghu;окно;
空气;kōngqì;воздух, атмосфера;
护士;hùshi;медицинская сестра, медсестра;
后悔;hòuhuǐ;раскаиваться, сожалеть, раскаяние;
大约;dàyuē;приблизительно, около;
内容;nèiróng;содержание, содержимое;
规定;guīdìng;устанавливать, определять, предусматривать;
效果;xiàoguǒ;результат, эффект, успех;
现金;xiànjīn;наличные [деньги];
儿童;értóng;дети, ребята, детский;
租;zū;арендовать, снимать;租一所房子 [zū yīsuǒ fángzi] — арендовать дом
篇;piān;глава, раздел, часть;上篇 [shàngpiān] — первая часть [глава]
浪漫;làngmàn;романтический, романтичный;
态度;tàidu;позиция, отношение;
